CVE-1999-0199,CWE-252
CVE-2011-1477,CWE-264
CVE-2011-1479,CWE-399
CVE-2011-1488,CWE-772
CVE-2011-1489,CWE-772
CVE-2011-1490,CWE-772
CVE-2011-1493,NVD-CWE-Other
CVE-2011-1575,CWE-399
CVE-2011-1585,CWE-264
CVE-2011-1588,CWE-134
CVE-2011-1589,CWE-22
CVE-2011-1759,CWE-189
CVE-2011-1767,NVD-CWE-Other
CVE-2011-1768,CWE-362
CVE-2011-1833,CWE-264
CVE-2011-1833,CWE-362
CVE-2011-1927,NVD-CWE-Other
CVE-2011-1937,CWE-79
CVE-2011-2161,CWE-399
CVE-2011-2182,CWE-119
CVE-2011-2183,CWE-362
CVE-2011-2206,CWE-399
CVE-2011-2208,CWE-189
CVE-2011-2209,CWE-189
CVE-2011-2210,CWE-264
CVE-2011-2211,CWE-264
CVE-2011-2479,CWE-399
CVE-2011-2482,CWE-476
CVE-2011-2486,CWE-264
CVE-2011-2491,CWE-400
CVE-2011-2493,NVD-CWE-Other
CVE-2011-2494,CWE-200
CVE-2011-2495,CWE-264
CVE-2011-2496,CWE-189
CVE-2011-2517,CWE-119
CVE-2011-2518,CWE-20
CVE-2011-2521,CWE-189
CVE-2011-2699,NVD-CWE-Other
CVE-2011-2707,CWE-200
CVE-2011-2765,CWE-59
CVE-2011-2898,CWE-200
CVE-2011-2905,NVD-CWE-Other
CVE-2011-2906,CWE-400
CVE-2011-2909,CWE-200
CVE-2011-2918,CWE-400
CVE-2011-2929,CWE-20
CVE-2011-2930,CWE-89
CVE-2011-2931,CWE-79
CVE-2011-2932,CWE-79
CVE-2011-3177,CWE-200
CVE-2011-3178,CWE-94
CVE-2011-3180,NVD-CWE-Other
CVE-2011-3188,NVD-CWE-Other
CVE-2011-3191,CWE-119
CVE-2011-3209,CWE-189
CVE-2011-3211,CWE-20
CVE-2011-3346,CWE-119
CVE-2011-3353,CWE-120
CVE-2011-3359,CWE-119
CVE-2011-3363,CWE-20
CVE-2011-3371,CWE-79
CVE-2011-3591,CWE-79
CVE-2011-3592,CWE-79
CVE-2011-3598,CWE-79
CVE-2011-3602,CWE-22
CVE-2011-3619,CWE-20
CVE-2011-3637,CWE-476
CVE-2011-3638,NVD-CWE-noinfo
CVE-2011-4080,CWE-264
CVE-2011-4081,CWE-476
CVE-2011-4086,CWE-119
CVE-2011-4087,CWE-665
CVE-2011-4098,CWE-119
CVE-2011-4104,CWE-20
CVE-2011-4112,NVD-CWE-noinfo
CVE-2011-4127,CWE-264
CVE-2011-4131,CWE-189
CVE-2011-4181,CWE-20
CVE-2011-4183,CWE-434
CVE-2011-4195,NVD-CWE-Other
CVE-2011-4312,CWE-79
CVE-2011-4324,NVD-CWE-noinfo
CVE-2011-4326,CWE-399
CVE-2011-4341,CWE-79
CVE-2011-4344,CWE-79
CVE-2011-4348,CWE-362
CVE-2011-4594,CWE-476
CVE-2011-4596,CWE-22
CVE-2011-4604,CWE-119
CVE-2011-4611,CWE-189
CVE-2011-4621,CWE-835
CVE-2011-4715,CWE-22
CVE-2011-4913,CWE-20
CVE-2011-4914,CWE-20
CVE-2011-4966,CWE-255
CVE-2011-4969,CWE-79
CVE-2011-5018,CWE-79
CVE-2011-5097,CWE-264
CVE-2011-5098,CWE-264
CVE-2011-5321,NVD-CWE-Other
CVE-2011-5327,CWE-119
CVE-2012-0028,CWE-264
CVE-2012-0036,CWE-89
CVE-2012-0037,CWE-611
CVE-2012-0038,CWE-190
CVE-2012-0044,CWE-190
CVE-2012-0045,NVD-CWE-Other
CVE-2012-0207,CWE-369
CVE-2012-0807,CWE-119
CVE-2012-0863,CWE-310
CVE-2012-0879,CWE-400
CVE-2012-0957,CWE-16
CVE-2012-0973,CWE-89
CVE-2012-0974,CWE-79
CVE-2012-10002,CWE-79
CVE-2012-10003,CWE-79
CVE-2012-10004,CWE-79
CVE-2012-10005,CWE-79
CVE-2012-10006,CWE-89
CVE-2012-10007,CWE-79
CVE-2012-10008,CWE-89
CVE-2012-10009,CWE-89
CVE-2012-10010,CWE-352
CVE-2012-10011,CWE-89
CVE-2012-10012,CWE-352
CVE-2012-10013,CWE-79
CVE-2012-10014,CWE-79
CVE-2012-10015,CWE-352
CVE-2012-10016,NVD-CWE-noinfo
CVE-2012-10017,CWE-352
CVE-2012-1013,NVD-CWE-Other
CVE-2012-1097,CWE-476
CVE-2012-1107,NVD-CWE-noinfo
CVE-2012-1108,CWE-20
CVE-2012-1118,CWE-264
CVE-2012-1119,CWE-264
CVE-2012-1121,CWE-264
CVE-2012-1122,CWE-264
CVE-2012-1123,CWE-287
CVE-2012-1146,CWE-476
CVE-2012-1176,CWE-119
CVE-2012-1188,CWE-79
CVE-2012-1190,CWE-79
CVE-2012-1207,CWE-22
CVE-2012-1208,CWE-79
CVE-2012-1209,CWE-79
CVE-2012-1226,CWE-22
CVE-2012-1571,CWE-119
CVE-2012-1583,CWE-399
CVE-2012-1584,CWE-189
CVE-2012-1597,CWE-79
CVE-2012-1600,CWE-79
CVE-2012-1617,CWE-22
CVE-2012-1836,CWE-119
CVE-2012-1902,CWE-200
CVE-2012-1909,CWE-16
CVE-2012-1910,NVD-CWE-Other
CVE-2012-2100,CWE-189
CVE-2012-2101,CWE-264
CVE-2012-2119,CWE-119
CVE-2012-2123,CWE-264
CVE-2012-2127,CWE-119
CVE-2012-2129,CWE-79
CVE-2012-2133,CWE-399
CVE-2012-2136,CWE-20
CVE-2012-2139,CWE-22
CVE-2012-2140,CWE-20
CVE-2012-2144,NVD-CWE-Other
CVE-2012-2313,CWE-264
CVE-2012-2319,CWE-264
CVE-2012-2373,CWE-362
CVE-2012-2375,CWE-189
CVE-2012-2383,CWE-189
CVE-2012-2384,CWE-189
CVE-2012-2385,CWE-399
CVE-2012-2390,CWE-399
CVE-2012-2395,NVD-CWE-Other
CVE-2012-2417,CWE-310
CVE-2012-2654,CWE-20
CVE-2012-2669,CWE-20
CVE-2012-2671,NVD-CWE-Other
CVE-2012-2673,CWE-189
CVE-2012-2674,CWE-189
CVE-2012-2675,CWE-189
CVE-2012-2744,NVD-CWE-Other
CVE-2012-2745,CWE-119
CVE-2012-2981,CWE-20
CVE-2012-2982,NVD-CWE-Other
CVE-2012-2983,CWE-287
CVE-2012-3360,CWE-22
CVE-2012-3361,CWE-264
CVE-2012-3364,CWE-119
CVE-2012-3366,CWE-78
CVE-2012-3371,CWE-20
CVE-2012-3375,NVD-CWE-Other
CVE-2012-3382,CWE-79
CVE-2012-3400,CWE-787
CVE-2012-3408,CWE-287
CVE-2012-3426,CWE-264
CVE-2012-3430,CWE-200
CVE-2012-3447,CWE-264
CVE-2012-3458,CWE-310
CVE-2012-3501,CWE-119
CVE-2012-3508,CWE-79
CVE-2012-3510,CWE-399
CVE-2012-3511,CWE-362
CVE-2012-3520,CWE-287
CVE-2012-3525,CWE-20
CVE-2012-3542,CWE-264
CVE-2012-3552,CWE-362
CVE-2012-3864,CWE-200
CVE-2012-3865,CWE-22
CVE-2012-3866,CWE-264
CVE-2012-3867,CWE-264
CVE-2012-4219,CWE-200
CVE-2012-4267,CWE-79
CVE-2012-4393,CWE-352
CVE-2012-4394,CWE-79
CVE-2012-4395,CWE-79
CVE-2012-4396,CWE-79
CVE-2012-4397,CWE-79
CVE-2012-4406,CWE-502
CVE-2012-4444,NVD-CWE-noinfo
CVE-2012-4451,CWE-79
CVE-2012-4456,CWE-287
CVE-2012-4457,CWE-287
CVE-2012-4467,CWE-399
CVE-2012-4506,CWE-22
CVE-2012-4508,CWE-362
CVE-2012-4520,CWE-20
CVE-2012-4530,CWE-200
CVE-2012-4565,CWE-189
CVE-2012-4573,CWE-264
CVE-2012-4668,CWE-79
CVE-2012-4752,CWE-264
CVE-2012-5162,CWE-89
CVE-2012-5163,CWE-79
CVE-2012-5164,CWE-79
CVE-2012-5339,CWE-79
CVE-2012-5368,CWE-79
CVE-2012-5374,CWE-310
CVE-2012-5375,CWE-310
CVE-2012-5482,CWE-264
CVE-2012-5517,NVD-CWE-Other
CVE-2012-5532,NVD-CWE-noinfo
CVE-2012-5563,CWE-255
CVE-2012-5565,CWE-79
CVE-2012-5571,CWE-255
CVE-2012-5618,CWE-640
CVE-2012-5622,CWE-352
CVE-2012-5625,CWE-200
CVE-2012-5646,CWE-20
CVE-2012-5647,CWE-20
CVE-2012-5648,CWE-89
CVE-2012-6084,NVD-CWE-Other
CVE-2012-6112,CWE-264
CVE-2012-6116,CWE-264
CVE-2012-6119,CWE-264
CVE-2012-6121,CWE-79
CVE-2012-6536,CWE-200
CVE-2012-6537,CWE-200
CVE-2012-6538,CWE-200
CVE-2012-6539,CWE-200
CVE-2012-6540,CWE-200
CVE-2012-6541,CWE-200
CVE-2012-6542,CWE-200
CVE-2012-6543,CWE-200
CVE-2012-6544,CWE-200
CVE-2012-6545,CWE-200
CVE-2012-6546,CWE-200
CVE-2012-6547,CWE-200
CVE-2012-6548,CWE-200
CVE-2012-6549,CWE-200
CVE-2012-6550,CWE-79
CVE-2012-6552,NVD-CWE-noinfo
CVE-2012-6620,CWE-79
CVE-2012-6638,CWE-400
CVE-2012-6640,CWE-79
CVE-2012-6647,CWE-20
CVE-2012-6657,CWE-264
CVE-2012-6662,CWE-79
CVE-2012-6689,CWE-284
CVE-2012-6696,CWE-20
CVE-2012-6701,CWE-190
CVE-2012-6703,CWE-190
CVE-2012-6704,CWE-119
CVE-2012-6712,CWE-119
CVE-2013-0158,NVD-CWE-noinfo
CVE-2013-0178,CWE-20
CVE-2013-0183,CWE-119
CVE-2013-0211,CWE-189
CVE-2013-0212,CWE-200
CVE-2013-0216,CWE-20
CVE-2013-0217,CWE-399
CVE-2013-0228,CWE-189
CVE-2013-0234,CWE-79
CVE-2013-0250,NVD-CWE-Other
CVE-2013-0256,CWE-79
CVE-2013-0262,CWE-22
CVE-2013-0263,NVD-CWE-noinfo
CVE-2013-0266,CWE-362
CVE-2013-0267,CWE-20
CVE-2013-0267,CWE-264
CVE-2013-0268,CWE-264
CVE-2013-0270,CWE-119
CVE-2013-0275,CWE-79
CVE-2013-0281,CWE-399
CVE-2013-0290,CWE-20
CVE-2013-0294,CWE-330
CVE-2013-0309,CWE-119
CVE-2013-0310,CWE-119
CVE-2013-0311,NVD-CWE-Other
CVE-2013-0313,NVD-CWE-noinfo
CVE-2013-0342,CWE-20
CVE-2013-0349,CWE-200
CVE-2013-0730,CWE-79
CVE-2013-0807,CWE-79
CVE-2013-0871,CWE-362
CVE-2013-0914,CWE-264
CVE-2013-10005,CWE-835
CVE-2013-10006,CWE-208
CVE-2013-10007,CWE-200
CVE-2013-10008,CWE-89
CVE-2013-10009,CWE-89
CVE-2013-10010,CWE-79
CVE-2013-10011,CWE-89
CVE-2013-10012,CWE-89
CVE-2013-10013,CWE-89
CVE-2013-10014,CWE-89
CVE-2013-10015,CWE-89
CVE-2013-10016,CWE-89
CVE-2013-10017,CWE-89
CVE-2013-10018,CWE-89
CVE-2013-10019,CWE-89
CVE-2013-10020,CWE-79
CVE-2013-10021,CWE-79
CVE-2013-10022,CWE-79
CVE-2013-10023,CWE-89
CVE-2013-10024,CWE-200
CVE-2013-10025,CWE-352
CVE-2013-10026,CWE-79
CVE-2013-10027,CWE-352
CVE-2013-10028,CWE-79
CVE-2013-10029,CWE-352
CVE-2013-10030,CWE-200
CVE-2013-1425,CWE-276
CVE-2013-1428,CWE-119
CVE-2013-1445,CWE-310
CVE-2013-1630,CWE-20
CVE-2013-1641,CWE-22
CVE-2013-1756,CWE-94
CVE-2013-1763,CWE-20
CVE-2013-1767,CWE-399
CVE-2013-1770,CWE-79
CVE-2013-1773,CWE-119
CVE-2013-1774,CWE-264
CVE-2013-1792,CWE-362
CVE-2013-1796,CWE-119
CVE-2013-1797,CWE-399
CVE-2013-1798,CWE-20
CVE-2013-1800,CWE-264
CVE-2013-1801,CWE-264
CVE-2013-1808,CWE-79
CVE-2013-1812,CWE-399
CVE-2013-1819,CWE-20
CVE-2013-1826,NVD-CWE-Other
CVE-2013-1827,NVD-CWE-Other
CVE-2013-1828,CWE-20
CVE-2013-1848,CWE-20
CVE-2013-1858,CWE-264
CVE-2013-1860,CWE-119
CVE-2013-1915,CWE-611
CVE-2013-1928,CWE-200
CVE-2013-1929,CWE-119
CVE-2013-1937,CWE-79
CVE-2013-1942,CWE-79
CVE-2013-1943,CWE-20
CVE-2013-1944,CWE-200
CVE-2013-1956,CWE-264
CVE-2013-1957,CWE-264
CVE-2013-1958,CWE-264
CVE-2013-1959,CWE-264
CVE-2013-1979,CWE-264
CVE-2013-2012,CWE-269
CVE-2013-2015,CWE-399
CVE-2013-2016,CWE-269
CVE-2013-2017,CWE-399
CVE-2013-2022,CWE-79
CVE-2013-2023,CWE-79
CVE-2013-2025,CWE-79
CVE-2013-2035,CWE-94
CVE-2013-2058,CWE-119
CVE-2013-2061,CWE-200
CVE-2013-2091,CWE-89
CVE-2013-2092,CWE-79
CVE-2013-2093,CWE-20
CVE-2013-2094,CWE-189
CVE-2013-2124,NVD-CWE-Other
CVE-2013-2126,CWE-399
CVE-2013-2127,CWE-119
CVE-2013-2128,CWE-400
CVE-2013-2130,NVD-CWE-Other
CVE-2013-2132,NVD-CWE-Other
CVE-2013-2138,CWE-20
CVE-2013-2140,CWE-20
CVE-2013-2141,CWE-399
CVE-2013-2145,CWE-20
CVE-2013-2146,CWE-20
CVE-2013-2174,CWE-119
CVE-2013-2182,CWE-264
CVE-2013-2206,NVD-CWE-Other
CVE-2013-2209,CWE-79
CVE-2013-2220,CWE-119
CVE-2013-2221,CWE-119
CVE-2013-2222,CWE-119
CVE-2013-2223,CWE-119
CVE-2013-2232,CWE-20
CVE-2013-2234,CWE-119
CVE-2013-2237,CWE-119
CVE-2013-2506,CWE-264
CVE-2013-2546,CWE-310
CVE-2013-2547,CWE-310
CVE-2013-2548,CWE-310
CVE-2013-2559,CWE-89
CVE-2013-2596,CWE-190
CVE-2013-2634,CWE-399
CVE-2013-2635,CWE-399
CVE-2013-2636,CWE-399
CVE-2013-2653,CWE-20
CVE-2013-2765,CWE-476
CVE-2013-2850,CWE-119
CVE-2013-2929,CWE-264
CVE-2013-2930,CWE-264
CVE-2013-3076,CWE-200
CVE-2013-3081,CWE-89
CVE-2013-3222,CWE-200
CVE-2013-3223,CWE-200
CVE-2013-3224,CWE-200
CVE-2013-3225,CWE-200
CVE-2013-3226,CWE-200
CVE-2013-3227,CWE-200
CVE-2013-3228,CWE-200
CVE-2013-3229,CWE-200
CVE-2013-3230,CWE-200
CVE-2013-3231,CWE-200
CVE-2013-3232,CWE-200
CVE-2013-3233,CWE-200
CVE-2013-3234,CWE-200
CVE-2013-3235,CWE-200
CVE-2013-3236,CWE-200
CVE-2013-3237,CWE-200
CVE-2013-3238,NVD-CWE-noinfo
CVE-2013-3239,CWE-94
CVE-2013-3300,CWE-119
CVE-2013-3301,NVD-CWE-Other
CVE-2013-3302,CWE-362
CVE-2013-3524,CWE-89
CVE-2013-3703,CWE-275
CVE-2013-3722,CWE-835
CVE-2013-3735,CWE-20
CVE-2013-3742,CWE-79
CVE-2013-4118,CWE-476
CVE-2013-4119,CWE-476
CVE-2013-4125,CWE-399
CVE-2013-4127,CWE-399
CVE-2013-4129,CWE-20
CVE-2013-4136,CWE-59
CVE-2013-4160,NVD-CWE-Other
CVE-2013-4162,CWE-399
CVE-2013-4163,CWE-399
CVE-2013-4168,CWE-79
CVE-2013-4205,CWE-399
CVE-2013-4220,NVD-CWE-noinfo
CVE-2013-4244,CWE-119
CVE-2013-4247,CWE-189
CVE-2013-4249,CWE-79
CVE-2013-4251,CWE-269
CVE-2013-4254,CWE-20
CVE-2013-4263,CWE-119
CVE-2013-4264,CWE-119
CVE-2013-4265,NVD-CWE-Other
CVE-2013-4270,CWE-20
CVE-2013-4299,CWE-200
CVE-2013-4299,CWE-264
CVE-2013-4300,CWE-264
CVE-2013-4312,CWE-119
CVE-2013-4350,CWE-310
CVE-2013-4372,CWE-79
CVE-2013-4387,CWE-119
CVE-2013-4413,CWE-22
CVE-2013-4451,CWE-264
CVE-2013-4455,CWE-264
CVE-2013-4460,CWE-79
CVE-2013-4470,CWE-264
CVE-2013-4483,CWE-189
CVE-2013-4492,CWE-79
CVE-2013-4509,CWE-255
CVE-2013-4511,CWE-189
CVE-2013-4512,CWE-119
CVE-2013-4513,CWE-119
CVE-2013-4514,CWE-119
CVE-2013-4515,CWE-200
CVE-2013-4516,CWE-200
CVE-2013-4521,CWE-502
CVE-2013-4532,CWE-119
CVE-2013-4558,CWE-20
CVE-2013-4561,CWE-668
CVE-2013-4562,CWE-352
CVE-2013-4563,CWE-189
CVE-2013-4584,CWE-755
CVE-2013-4587,CWE-20
CVE-2013-4588,CWE-119
CVE-2013-4591,CWE-119
CVE-2013-4592,CWE-399
CVE-2013-4623,CWE-20
CVE-2013-4701,NVD-CWE-noinfo
CVE-2013-4729,CWE-264
CVE-2013-4789,CWE-89
CVE-2013-4879,CWE-89
CVE-2013-4880,CWE-79
CVE-2013-4881,CWE-352
CVE-2013-4885,NVD-CWE-Other
CVE-2013-5029,CWE-20
CVE-2013-5036,CWE-94
CVE-2013-5313,CWE-352
CVE-2013-5576,CWE-20
CVE-2013-5634,CWE-399
CVE-2013-5705,NVD-CWE-noinfo
CVE-2013-6044,CWE-79
CVE-2013-6048,CWE-20
CVE-2013-6282,CWE-20
CVE-2013-6367,CWE-189
CVE-2013-6368,CWE-20
CVE-2013-6370,CWE-119
CVE-2013-6371,CWE-310
CVE-2013-6372,CWE-255
CVE-2013-6376,CWE-189
CVE-2013-6378,CWE-189
CVE-2013-6380,CWE-20
CVE-2013-6381,CWE-119
CVE-2013-6383,CWE-264
CVE-2013-6401,CWE-310
CVE-2013-6431,CWE-264
CVE-2013-6432,NVD-CWE-Other
CVE-2013-6441,CWE-264
CVE-2013-6447,CWE-200
CVE-2013-6448,CWE-264
CVE-2013-6465,CWE-79
CVE-2013-6763,CWE-119
CVE-2013-6789,CWE-200
CVE-2013-6795,CWE-94
CVE-2013-7008,NVD-CWE-Other
CVE-2013-7009,CWE-119
CVE-2013-7010,CWE-189
CVE-2013-7011,CWE-119
CVE-2013-7012,CWE-119
CVE-2013-7013,CWE-189
CVE-2013-7014,CWE-189
CVE-2013-7015,CWE-20
CVE-2013-7016,CWE-119
CVE-2013-7017,NVD-CWE-Other
CVE-2013-7018,CWE-119
CVE-2013-7019,CWE-20
CVE-2013-7020,CWE-119
CVE-2013-7021,CWE-399
CVE-2013-7022,CWE-119
CVE-2013-7023,CWE-119
CVE-2013-7024,CWE-119
CVE-2013-7026,CWE-362
CVE-2013-7027,CWE-119
CVE-2013-7070,CWE-74
CVE-2013-7137,CWE-287
CVE-2013-7176,CWE-20
CVE-2013-7177,CWE-20
CVE-2013-7222,CWE-310
CVE-2013-7223,CWE-352
CVE-2013-7224,CWE-200
CVE-2013-7225,CWE-89
CVE-2013-7226,CWE-189
CVE-2013-7249,CWE-200
CVE-2013-7250,CWE-79
CVE-2013-7251,CWE-352
CVE-2013-7262,CWE-89
CVE-2013-7263,CWE-20
CVE-2013-7264,CWE-20
CVE-2013-7265,CWE-20
CVE-2013-7266,CWE-20
CVE-2013-7267,CWE-20
CVE-2013-7268,CWE-20
CVE-2013-7269,CWE-20
CVE-2013-7270,CWE-20
CVE-2013-7271,CWE-20
CVE-2013-7281,CWE-200
CVE-2013-7283,CWE-362
CVE-2013-7294,CWE-20
CVE-2013-7299,CWE-200
CVE-2013-7330,CWE-264
CVE-2013-7339,CWE-476
CVE-2013-7342,CWE-79
CVE-2013-7343,CWE-79
CVE-2013-7345,NVD-CWE-noinfo
CVE-2013-7348,CWE-399
CVE-2013-7351,CWE-79
CVE-2013-7378,CWE-74
CVE-2013-7381,CWE-74
CVE-2013-7416,CWE-77
CVE-2013-7421,CWE-269
CVE-2013-7436,CWE-310
CVE-2013-7441,CWE-399
CVE-2013-7444,CWE-200
CVE-2013-7446,NVD-CWE-Other
CVE-2013-7448,CWE-22
CVE-2013-7449,CWE-310
CVE-2013-7455,NVD-CWE-Other
CVE-2013-7456,CWE-125
CVE-2013-7459,CWE-119
CVE-2013-7470,CWE-400
CVE-2013-7490,CWE-119
CVE-2013-7491,CWE-787
CVE-2014-0012,CWE-264
CVE-2014-0038,CWE-20
CVE-2014-0039,NVD-CWE-Other
CVE-2014-0040,NVD-CWE-noinfo
CVE-2014-0042,CWE-310
CVE-2014-0049,CWE-120
CVE-2014-0063,CWE-119
CVE-2014-0064,CWE-189
CVE-2014-0069,CWE-119
CVE-2014-0072,CWE-20
CVE-2014-0073,CWE-264
CVE-2014-0077,CWE-787
CVE-2014-0083,CWE-916
CVE-2014-0086,CWE-20
CVE-2014-0101,CWE-476
CVE-2014-0120,CWE-352
CVE-2014-0121,CWE-287
CVE-2014-0131,CWE-416
CVE-2014-0156,CWE-78
CVE-2014-0168,CWE-352
CVE-2014-0177,CWE-310
CVE-2014-0185,CWE-269
CVE-2014-0196,CWE-362
CVE-2014-0203,CWE-416
CVE-2014-0205,CWE-119
CVE-2014-0206,NVD-CWE-Other
CVE-2014-0207,CWE-119
CVE-2014-0237,CWE-399
CVE-2014-0238,CWE-119
CVE-2014-0477,NVD-CWE-Other
CVE-2014-0593,CWE-20
CVE-2014-0594,CWE-352
CVE-2014-0749,CWE-119
CVE-2014-0791,CWE-189
CVE-2014-0978,CWE-119
CVE-2014-10068,CWE-22
CVE-2014-10074,CWE-434
CVE-2014-10401,CWE-732
CVE-2014-1235,CWE-119
CVE-2014-1236,CWE-119
CVE-2014-125026,CWE-787
CVE-2014-125027,CWE-79
CVE-2014-125028,CWE-352
CVE-2014-125029,CWE-89
CVE-2014-125030,CWE-798
CVE-2014-125031,CWE-79
CVE-2014-125032,CWE-89
CVE-2014-125033,CWE-22
CVE-2014-125034,CWE-79
CVE-2014-125035,CWE-79
CVE-2014-125036,NVD-CWE-Other
CVE-2014-125037,CWE-89
CVE-2014-125038,CWE-89
CVE-2014-125039,CWE-79
CVE-2014-125040,CWE-89
CVE-2014-125041,CWE-89
CVE-2014-125044,CWE-610
CVE-2014-125045,CWE-89
CVE-2014-125046,CWE-89
CVE-2014-125047,CWE-89
CVE-2014-125048,CWE-384
CVE-2014-125049,CWE-89
CVE-2014-125050,CWE-89
CVE-2014-125051,CWE-89
CVE-2014-125052,CWE-89
CVE-2014-125053,CWE-89
CVE-2014-125054,CWE-284
CVE-2014-125055,CWE-208
CVE-2014-125056,CWE-208
CVE-2014-125057,CWE-697
CVE-2014-125058,CWE-89
CVE-2014-125059,CWE-73
CVE-2014-125060,CWE-287
CVE-2014-125061,CWE-89
CVE-2014-125062,CWE-89
CVE-2014-125063,CWE-89
CVE-2014-125065,CWE-89
CVE-2014-125066,CWE-404
CVE-2014-125067,CWE-89
CVE-2014-125068,CWE-22
CVE-2014-125069,CWE-22
CVE-2014-125070,CWE-79
CVE-2014-125071,CWE-346
CVE-2014-125072,CWE-89
CVE-2014-125073,CWE-89
CVE-2014-125074,CWE-89
CVE-2014-125075,CWE-89
CVE-2014-125076,CWE-89
CVE-2014-125077,CWE-89
CVE-2014-125078,CWE-79
CVE-2014-125079,CWE-89
CVE-2014-125080,CWE-22
CVE-2014-125081,CWE-89
CVE-2014-125082,CWE-89
CVE-2014-125083,CWE-89
CVE-2014-125084,CWE-89
CVE-2014-125085,CWE-89
CVE-2014-125086,CWE-89
CVE-2014-125087,CWE-611
CVE-2014-125088,CWE-79
CVE-2014-125089,CWE-79
CVE-2014-125090,CWE-79
CVE-2014-125091,CWE-89
CVE-2014-125092,CWE-79
CVE-2014-125093,NVD-CWE-noinfo
CVE-2014-125095,CWE-79
CVE-2014-125096,CWE-79
CVE-2014-125097,CWE-79
CVE-2014-125098,CWE-79
CVE-2014-125099,CWE-89
CVE-2014-125100,CWE-79
CVE-2014-125101,CWE-89
CVE-2014-125102,NVD-CWE-noinfo
CVE-2014-125103,CWE-79
CVE-2014-125104,CWE-434
CVE-2014-125105,CWE-79
CVE-2014-125106,CWE-787
CVE-2014-125107,CWE-693
CVE-2014-125108,CWE-79
CVE-2014-125109,CWE-79
CVE-2014-125110,CWE-79
CVE-2014-125111,CWE-79
CVE-2014-1401,CWE-89
CVE-2014-1403,CWE-79
CVE-2014-1438,CWE-264
CVE-2014-1439,NVD-CWE-Other
CVE-2014-1444,CWE-399
CVE-2014-1445,CWE-399
CVE-2014-1446,CWE-399
CVE-2014-1459,CWE-89
CVE-2014-1471,CWE-89
CVE-2014-1604,NVD-CWE-Other
CVE-2014-1690,CWE-200
CVE-2014-1691,CWE-94
CVE-2014-1737,CWE-754
CVE-2014-1738,CWE-200
CVE-2014-1739,CWE-200
CVE-2014-1832,NVD-CWE-Other
CVE-2014-1858,CWE-20
CVE-2014-1859,CWE-59
CVE-2014-1869,CWE-79
CVE-2014-1874,CWE-20
CVE-2014-1875,CWE-59
CVE-2014-1879,CWE-79
CVE-2014-1904,CWE-79
CVE-2014-1932,CWE-59
CVE-2014-1933,CWE-264
